what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389593037513
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.RunLast",1389593037991
started,bundle,org.eclipse.core.variables,3.2.500.v20110511,"org.eclipse.core.variables",1389593038279
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389593038835
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389593061502
started,bundle,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.ui",1389593070841
started,bundle,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui",1389593071006
started,bundle,org.eclipse.wst.html.core,1.1.501.v201109080146,"org.eclipse.wst.html.core",1389593071076
started,bundle,org.eclipse.wst.css.core,1.1.500.v201104191926,"org.eclipse.wst.css.core",1389593071246
started,bundle,org.eclipse.wst.jsdt.web.ui,1.0.401.v201108152113,"org.eclipse.wst.jsdt.web.ui",1389593071448
started,bundle,org.eclipse.wst.css.ui,1.0.600.v201103022054,"org.eclipse.wst.css.ui",1389593071453
started,bundle,org.eclipse.wst.dtd.ui,1.0.600.v201103171359,"org.eclipse.wst.dtd.ui",1389593071511
started,bundle,org.eclipse.wst.jsdt.web.core,1.0.401.v201108152113,"org.eclipse.wst.jsdt.web.core",1389593071577
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389593072040
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389593093745
started,bundle,org.jboss.tools.common.text.ext,3.3.0.v20111218-2033-H606-Beta1,"org.jboss.tools.common.text.ext",1389593094549
started,bundle,org.jboss.tools.jst.jsp,3.3.0.v20111218-2058-H676-Beta1,"org.jboss.tools.jst.jsp",1389593094552
started,bundle,org.jboss.tools.common.text.xml,3.3.0.v20111218-2033-H606-Beta1,"org.jboss.tools.common.text.xml",1389593094577
started,bundle,org.jboss.tools.vpe,3.3.0.v20111218-2116-H645-Beta1,"org.jboss.tools.vpe",1389593094588
started,bundle,org.hibernate.eclipse.mapper,3.4.0.v20111218-2108-H606-Beta1,"org.hibernate.eclipse.mapper",1389593094961
started,bundle,org.eclipse.jst.jsf.facelet.ui,1.0.1.v201104032306,"org.eclipse.jst.jsf.facelet.ui",1389593095073
started,bundle,org.eclipse.jst.jsf.ui,1.3.2.v201104251204,"org.eclipse.jst.jsf.ui",1389593095078
started,bundle,org.jboss.tools.vpe.xulrunner,3.3.0.v20111218-2116-H645-Beta1,"org.jboss.tools.vpe.xulrunner",1389593095522
started,bundle,org.jboss.tools.jst.css,3.3.0.v20111218-2058-H676-Beta1,"org.jboss.tools.jst.css",1389593096378
started,bundle,org.eclipse.gef,3.7.1.v20110830-1143,"org.eclipse.gef",1389593097479
